iteracion,max_depth,min_child_weight,subsample,colsample_bytree,eta,gamma,lambda,alpha,optntrees,minerror,sensibilidad,kappa
88,2,1,0.7,0.6,0.001,0.1,1,1,555,0.6582005348801613,0.09210526315789473,0.11174047373841411
89,2,1,0.7,0.6,0.001,0.1,1,10,10,0.6727686212956905,0.0,0.0
90,2,1,0.7,0.6,0.001,0.1,1,100,1,0.672785379588604,0.0,0.0
91,2,1,0.7,0.6,0.001,0.1,10,0,465,0.6649649874866008,0.0,0.0
92,2,1,0.7,0.6,0.001,0.1,10,0.001,465,0.6649658258259297,0.0,0.0
93,2,1,0.7,0.6,0.001,0.1,10,0.01,465,0.6649731612205505,0.0,0.0
94,2,1,0.7,0.6,0.001,0.1,10,0.1,465,0.6650389087200166,0.0,0.0
95,2,1,0.7,0.6,0.001,0.1,10,1,1000,0.6601606692373753,0.039473684210526314,0.04848800834202294
96,2,1,0.7,0.6,0.001,0.1,10,10,10,0.672779857814312,0.0,0.0
97,2,1,0.7,0.6,0.001,0.1,10,100,1,0.672785379588604,0.0,0.0
98,2,1,0.7,0.6,0.001,0.1,100,0,350,0.6716537755727767,0.0,0.0
99,2,1,0.7,0.6,0.001,0.1,100,0.001,350,0.6716539169847964,0.0,0.0
100,2,1,0.7,0.6,0.001,0.1,100,0.01,350,0.6716546089947223,0.0,0.0
101,2,1,0.7,0.6,0.001,0.1,100,0.1,350,0.6716649305820465,0.0,0.0
102,2,1,0.7,0.6,0.001,0.1,100,1,350,0.6717733293771744,0.0,0.0
103,2,1,0.7,0.6,0.001,0.1,100,10,10,0.6727849867939949,0.0,0.0
104,2,1,0.7,0.6,0.001,0.1,100,100,1,0.672785379588604,0.0,0.0
105,2,1,0.7,0.6,0.001,5,0.01,0,985,0.6475294372439384,0.39473684210526316,0.4471153846153846
106,2,1,0.7,0.6,0.001,5,0.01,0.001,985,0.6475388431549073,0.39473684210526316,0.4471153846153846
107,2,1,0.7,0.6,0.001,5,0.01,0.01,985,0.6475223891437054,0.39473684210526316,0.4471153846153846
108,2,1,0.7,0.6,0.001,5,0.01,0.1,1000,0.6477326035499573,0.39473684210526316,0.4471153846153846
109,2,1,0.7,0.6,0.001,5,0.01,1,820,0.6521007239818573,0.25,0.2924528301886793
110,2,1,0.7,0.6,0.001,5,0.01,10,1,0.672785379588604,0.0,0.0
111,2,1,0.7,0.6,0.001,5,0.01,100,1,0.672785379588604,0.0,0.0
112,2,1,0.7,0.6,0.001,5,0.1,0,553,0.6552021604776381,0.18421052631578946,0.2187500000000001
113,2,1,0.7,0.6,0.001,5,0.1,0.001,553,0.6552387504279613,0.18421052631578946,0.2187500000000001
114,2,1,0.7,0.6,0.001,5,0.1,0.01,553,0.6552571398019791,0.18421052631578946,0.2187500000000001
115,2,1,0.7,0.6,0.001,5,0.1,0.1,1000,0.6480584190785885,0.39473684210526316,0.4471153846153846
116,2,1,0.7,0.6,0.001,5,0.1,1,703,0.6540286509692669,0.18421052631578946,0.2187500000000001
117,2,1,0.7,0.6,0.001,5,0.1,10,1,0.672785379588604,0.0,0.0
118,2,1,0.7,0.6,0.001,5,0.1,100,1,0.672785379588604,0.0,0.0
119,2,1,0.7,0.6,0.001,5,1,0,703,0.6543533831834794,0.18421052631578946,0.2187500000000001
120,2,1,0.7,0.6,0.001,5,1,0.001,703,0.6543333467841149,0.18421052631578946,0.2187500000000001
121,2,1,0.7,0.6,0.001,5,1,0.01,703,0.654350428134203,0.18421052631578946,0.2187500000000001
122,2,1,0.7,0.6,0.001,5,1,0.1,557,0.6569605150818825,0.15789473684210525,0.18864097363083154
123,2,1,0.7,0.6,0.001,5,1,1,696,0.6567661260068417,0.15789473684210525,0.18864097363083154
124,2,1,0.7,0.6,0.001,5,1,10,1,0.672785379588604,0.0,0.0
125,2,1,0.7,0.6,0.001,5,1,100,1,0.672785379588604,0.0,0.0
126,2,1,0.7,0.6,0.001,5,10,0,389,0.6680777193605899,0.0,0.0
127,2,1,0.7,0.6,0.001,5,10,0.001,389,0.6680805712938309,0.0,0.0
128,2,1,0.7,0.6,0.001,5,10,0.01,389,0.6681163415312767,0.0,0.0
129,2,1,0.7,0.6,0.001,5,10,0.1,82,0.6716861546039581,0.0,0.0
130,2,1,0.7,0.6,0.001,5,10,1,70,0.6722266361117362,0.0,0.0
131,2,1,0.7,0.6,0.001,5,10,10,1,0.672785379588604,0.0,0.0
132,2,1,0.7,0.6,0.001,5,10,100,1,0.672785379588604,0.0,0.0
133,2,1,0.7,0.6,0.001,5,100,0,1,0.6727851408720016,0.0,0.0
134,2,1,0.7,0.6,0.001,5,100,0.001,1,0.6727851408720016,0.0,0.0
135,2,1,0.7,0.6,0.001,5,100,0.01,1,0.6727851396799087,0.0,0.0
136,2,1,0.7,0.6,0.001,5,100,0.1,1,0.6727851605415344,0.0,0.0
137,2,1,0.7,0.6,0.001,5,100,1,1,0.6727853408455848,0.0,0.0
138,2,1,0.7,0.6,0.001,5,100,10,1,0.672785379588604,0.0,0.0
139,2,1,0.7,0.6,0.001,5,100,100,1,0.672785379588604,0.0,0.0
140,2,1,0.7,0.6,0.001,10,0.01,0,589,0.6548917482793332,0.18421052631578946,0.2187500000000001
141,2,1,0.7,0.6,0.001,10,0.01,0.001,589,0.6548704960942269,0.18421052631578946,0.2187500000000001
142,2,1,0.7,0.6,0.001,10,0.01,0.01,589,0.654949190467596,0.18421052631578946,0.2187500000000001
143,2,1,0.7,0.6,0.001,10,0.01,0.1,741,0.6539385727047919,0.25,0.2924528301886793
144,2,1,0.7,0.6,0.001,10,0.01,1,317,0.6665348011255263,0.0,0.0
145,2,1,0.7,0.6,0.001,10,0.01,10,1,0.672785379588604,0.0,0.0
146,2,1,0.7,0.6,0.001,10,0.01,100,1,0.672785379588604,0.0,0.0
147,2,1,0.7,0.6,0.001,10,0.1,0,654,0.6549340310692787,0.19736842105263158,0.23366834170854267
148,2,1,0.7,0.6,0.001,10,0.1,0.001,760,0.6539464078843593,0.2631578947368421,0.306930693069307
149,2,1,0.7,0.6,0.001,10,0.1,0.01,760,0.654012615531683,0.2631578947368421,0.306930693069307
150,2,1,0.7,0.6,0.001,10,0.1,0.1,591,0.656496072858572,0.18421052631578946,0.2187500000000001
151,2,1,0.7,0.6,0.001,10,0.1,1,317,0.6667253333330155,0.0,0.0
152,2,1,0.7,0.6,0.001,10,0.1,10,1,0.672785379588604,0.0,0.0
153,2,1,0.7,0.6,0.001,10,0.1,100,1,0.672785379588604,0.0,0.0
154,2,1,0.7,0.6,0.001,10,1,0,314,0.6642946092784404,0.0,0.0
155,2,1,0.7,0.6,0.001,10,1,0.001,314,0.6642750692367554,0.0,0.0
156,2,1,0.7,0.6,0.001,10,1,0.01,314,0.6643598780035973,0.0,0.0
157,2,1,0.7,0.6,0.001,10,1,0.1,314,0.6650240875780583,0.0,0.0
158,2,1,0.7,0.6,0.001,10,1,1,144,0.6714624463021757,0.0,0.0
159,2,1,0.7,0.6,0.001,10,1,10,1,0.672785379588604,0.0,0.0
160,2,1,0.7,0.6,0.001,10,1,100,1,0.672785379588604,0.0,0.0
161,2,1,0.7,0.6,0.001,10,10,0,1,0.6727845165133476,0.0,0.0
162,2,1,0.7,0.6,0.001,10,10,0.001,1,0.6727845460176468,0.0,0.0
163,2,1,0.7,0.6,0.001,10,10,0.01,1,0.6727845388650895,0.0,0.0
164,2,1,0.7,0.6,0.001,10,10,0.1,1,0.6727846264839171,0.0,0.0
165,2,1,0.7,0.6,0.001,10,10,1,1,0.6727852585911751,0.0,0.0
166,2,1,0.7,0.6,0.001,10,10,10,1,0.672785379588604,0.0,0.0
167,2,1,0.7,0.6,0.001,10,10,100,1,0.672785379588604,0.0,0.0
168,2,1,0.7,0.6,0.001,10,100,0,1,0.6727851408720016,0.0,0.0
169,2,1,0.7,0.6,0.001,10,100,0.001,1,0.6727851408720016,0.0,0.0
170,2,1,0.7,0.6,0.001,10,100,0.01,1,0.6727851396799087,0.0,0.0
171,2,1,0.7,0.6,0.001,10,100,0.1,1,0.6727851605415344,0.0,0.0
172,2,1,0.7,0.6,0.001,10,100,1,1,0.6727853408455848,0.0,0.0
173,2,1,0.7,0.6,0.001,10,100,10,1,0.672785379588604,0.0,0.0
174,2,1,0.7,0.6,0.001,10,100,100,1,0.672785379588604,0.0,0.0
175,2,1,0.7,0.6,0.01,0.001,0.01,0,82,0.6510237188637257,0.32894736842105265,0.3780487804878049
176,2,1,0.7,0.6,0.01,0.001,0.01,0.001,82,0.6510179698467254,0.32894736842105265,0.3780487804878049
177,2,1,0.7,0.6,0.01,0.001,0.01,0.01,82,0.6509488347172737,0.32894736842105265,0.3780487804878049
178,2,1,0.7,0.6,0.01,0.001,0.01,0.1,83,0.6515671393275261,0.35526315789473684,0.40591658583899115
179,2,1,0.7,0.6,0.01,0.001,0.01,1,99,0.6490830618143082,0.32894736842105265,0.3780487804878049
180,2,1,0.7,0.6,0.01,0.001,0.01,10,25,0.6723298470675945,0.0,0.0
181,2,1,0.7,0.6,0.01,0.001,0.01,100,1,0.672785379588604,0.0,0.0
182,2,1,0.7,0.6,0.01,0.001,0.1,0,83,0.6516390824317932,0.34210526315789475,0.392023346303502
183,2,1,0.7,0.6,0.01,0.001,0.1,0.001,83,0.6516718329489232,0.34210526315789475,0.392023346303502
184,2,1,0.7,0.6,0.01,0.001,0.1,0.01,83,0.6514083229005336,0.34210526315789475,0.392023346303502
185,2,1,0.7,0.6,0.01,0.001,0.1,0.1,82,0.652225483059883,0.3026315789473684,0.3498527968596664
186,2,1,0.7,0.6,0.01,0.001,0.1,1,99,0.6493195643275976,0.32894736842105265,0.3780487804878049
187,2,1,0.7,0.6,0.01,0.001,0.1,10,25,0.6723333722352981,0.0,0.0
188,2,1,0.7,0.6,0.01,0.001,0.1,100,1,0.672785379588604,0.0,0.0
189,2,1,0.7,0.6,0.01,0.001,1,0,99,0.6491131106764078,0.35526315789473684,0.40591658583899115
190,2,1,0.7,0.6,0.01,0.001,1,0.001,99,0.6491701588034628,0.35526315789473684,0.40591658583899115
191,2,1,0.7,0.6,0.01,0.001,1,0.01,99,0.6491959098726511,0.35526315789473684,0.40591658583899115
192,2,1,0.7,0.6,0.01,0.001,1,0.1,84,0.6509148046374321,0.25,0.2924528301886793
193,2,1,0.7,0.6,0.01,0.001,1,1,82,0.6549555669724941,0.19736842105263158,0.23366834170854267
194,2,1,0.7,0.6,0.01,0.001,1,10,25,0.6723653025925159,0.0,0.0
195,2,1,0.7,0.6,0.01,0.001,1,100,1,0.672785379588604,0.0,0.0
196,2,1,0.7,0.6,0.01,0.001,10,0,82,0.6606728442013263,0.039473684210526314,0.04848800834202294
197,2,1,0.7,0.6,0.01,0.001,10,0.001,82,0.6606740328669548,0.039473684210526314,0.04848800834202294
198,2,1,0.7,0.6,0.01,0.001,10,0.01,82,0.6607774093747139,0.039473684210526314,0.04848800834202294
199,2,1,0.7,0.6,0.01,0.001,10,0.1,82,0.6608586621284485,0.039473684210526314,0.04848800834202294
200,2,1,0.7,0.6,0.01,0.001,10,1,82,0.6614231504499913,0.02631578947368421,0.0324267782426777
201,2,1,0.7,0.6,0.01,0.001,10,10,25,0.6725876016914845,0.0,0.0
202,2,1,0.7,0.6,0.01,0.001,10,100,1,0.672785379588604,0.0,0.0
203,2,1,0.7,0.6,0.01,0.001,100,0,82,0.6700516991317272,0.0,0.0
204,2,1,0.7,0.6,0.01,0.001,100,0.001,82,0.670051982998848,0.0,0.0
205,2,1,0.7,0.6,0.01,0.001,100,0.01,82,0.6700545708835125,0.0,0.0
206,2,1,0.7,0.6,0.01,0.001,100,0.1,82,0.6700869032740593,0.0,0.0
207,2,1,0.7,0.6,0.01,0.001,100,1,82,0.6703466135263443,0.0,0.0
208,2,1,0.7,0.6,0.01,0.001,100,10,4,0.6727667266130448,0.0,0.0
209,2,1,0.7,0.6,0.01,0.001,100,100,1,0.672785379588604,0.0,0.0
210,2,1,0.7,0.6,0.01,0.01,0.01,0,82,0.6510360063612461,0.32894736842105265,0.3780487804878049
211,2,1,0.7,0.6,0.01,0.01,0.01,0.001,82,0.6510482588410377,0.32894736842105265,0.3780487804878049
212,2,1,0.7,0.6,0.01,0.01,0.01,0.01,82,0.6509322284162045,0.32894736842105265,0.3780487804878049
213,2,1,0.7,0.6,0.01,0.01,0.01,0.1,83,0.6515671393275261,0.35526315789473684,0.40591658583899115
214,2,1,0.7,0.6,0.01,0.01,0.01,1,99,0.6490962120890618,0.32894736842105265,0.3780487804878049
215,2,1,0.7,0.6,0.01,0.01,0.01,10,4,0.6726133076846599,0.0,0.0
216,2,1,0.7,0.6,0.01,0.01,0.01,100,1,0.672785379588604,0.0,0.0
217,2,1,0.7,0.6,0.01,0.01,0.1,0,83,0.6516390824317932,0.34210526315789475,0.392023346303502
218,2,1,0.7,0.6,0.01,0.01,0.1,0.001,83,0.6516718329489232,0.34210526315789475,0.392023346303502
219,2,1,0.7,0.6,0.01,0.01,0.1,0.01,83,0.6514083229005336,0.34210526315789475,0.392023346303502
220,2,1,0.7,0.6,0.01,0.01,0.1,0.1,82,0.652225483059883,0.3026315789473684,0.3498527968596664
221,2,1,0.7,0.6,0.01,0.01,0.1,1,99,0.6493065737932919,0.32894736842105265,0.3780487804878049
222,2,1,0.7,0.6,0.01,0.01,0.1,10,4,0.6726144114136695,0.0,0.0
223,2,1,0.7,0.6,0.01,0.01,0.1,100,1,0.672785379588604,0.0,0.0
224,2,1,0.7,0.6,0.01,0.01,1,0,99,0.649148004874587,0.35526315789473684,0.40591658583899115
225,2,1,0.7,0.6,0.01,0.01,1,0.001,99,0.6491503046452999,0.35526315789473684,0.40591658583899115
226,2,1,0.7,0.6,0.01,0.01,1,0.01,99,0.649188489690423,0.35526315789473684,0.40591658583899115
227,2,1,0.7,0.6,0.01,0.01,1,0.1,84,0.6508300016820432,0.25,0.2924528301886793
228,2,1,0.7,0.6,0.01,0.01,1,1,82,0.6549551449716091,0.19736842105263158,0.23366834170854267
229,2,1,0.7,0.6,0.01,0.01,1,10,4,0.6726249477267265,0.0,0.0
230,2,1,0.7,0.6,0.01,0.01,1,100,1,0.672785379588604,0.0,0.0
231,2,1,0.7,0.6,0.01,0.01,10,0,82,0.6606728442013263,0.039473684210526314,0.04848800834202294
232,2,1,0.7,0.6,0.01,0.01,10,0.001,82,0.6606740328669548,0.039473684210526314,0.04848800834202294
233,2,1,0.7,0.6,0.01,0.01,10,0.01,82,0.6607774093747139,0.039473684210526314,0.04848800834202294
234,2,1,0.7,0.6,0.01,0.01,10,0.1,82,0.6608586621284485,0.039473684210526314,0.04848800834202294
235,2,1,0.7,0.6,0.01,0.01,10,1,82,0.6614231504499913,0.02631578947368421,0.0324267782426777
236,2,1,0.7,0.6,0.01,0.01,10,10,4,0.6726905919611454,0.0,0.0
237,2,1,0.7,0.6,0.01,0.01,10,100,1,0.672785379588604,0.0,0.0
238,2,1,0.7,0.6,0.01,0.01,100,0,82,0.6700516991317272,0.0,0.0
239,2,1,0.7,0.6,0.01,0.01,100,0.001,82,0.670051982998848,0.0,0.0
240,2,1,0.7,0.6,0.01,0.01,100,0.01,82,0.6700545708835125,0.0,0.0
241,2,1,0.7,0.6,0.01,0.01,100,0.1,82,0.6700869032740593,0.0,0.0
242,2,1,0.7,0.6,0.01,0.01,100,1,82,0.6703466135263443,0.0,0.0
243,2,1,0.7,0.6,0.01,0.01,100,10,4,0.6727655667066574,0.0,0.0
244,2,1,0.7,0.6,0.01,0.01,100,100,1,0.672785379588604,0.0,0.0
245,2,1,0.7,0.6,0.01,0.1,0.01,0,82,0.6509626480937005,0.32894736842105265,0.3780487804878049
246,2,1,0.7,0.6,0.01,0.1,0.01,0.001,82,0.6509649609029292,0.32894736842105265,0.3780487804878049
247,2,1,0.7,0.6,0.01,0.1,0.01,0.01,82,0.6509279738366605,0.32894736842105265,0.3780487804878049
248,2,1,0.7,0.6,0.01,0.1,0.01,0.1,83,0.6515503850579261,0.35526315789473684,0.40591658583899115
249,2,1,0.7,0.6,0.01,0.1,0.01,1,99,0.6490595012903214,0.32894736842105265,0.3780487804878049
250,2,1,0.7,0.6,0.01,0.1,0.01,10,10,0.6725258615612983,0.0,0.0
251,2,1,0.7,0.6,0.01,0.1,0.01,100,1,0.672785379588604,0.0,0.0
252,2,1,0.7,0.6,0.01,0.1,0.1,0,83,0.6516390824317932,0.34210526315789475,0.392023346303502
